Latin Word,English Definition(s),Frequency,Part of Speech,Sense Heading,Senses,Core Sense
"ā, ab, abs",from {with {{ablative}}}; by {introducing a personal agent with a {{passive}} verb},21,Preposition,,from {with {{ablative}}}; by {introducing a personal agent with a {{passive}} verb},1
"abeō, abīre, abiī, abitum",to go away,553,Verb,,to go away,1
"absurdus, absurda, absurdum",absurd,0,,,absurd,1
ad,"to, towards",14,Preposition,,"to, towards",1
"adveniō, advenīre, advēnī, adventum",to arrive,987,Verb,,to arrive,1
"aeger, aegra, aegrum",sick,810,Adjective,,sick,1
"āeroplānum, āeroplānī, {n.}",airplane,0,,,airplane,1
"aestās, aestātis, {f.}",summer,0,Noun,,summer,1
"aetās, aetātis, {f.}",age,308,Noun,,age,1
"afferō, afferre, attulī, allātum",to bring,514,,,to bring,1
"agō, agere, ēgī, āctum",to drive; to do; to pass {of time},69,Verb,,to drive; to do; to pass {of time},1
"āla, ālae, {f.}",wing,0,Noun,,wing,1
"aliquis, aliquid","something, anything",77,Pronoun,,"something, anything",1
aliquot,"some, several",0,,,"some, several",1
"alius, alia, aliud",other,37,Adjective,,other,1
"alter, altera, alterum",one {of two}; the other; another,148,Adjective,,one {of two}; the other; another,1
"amīcus, amīca, amīcum",friendly; friend,198,Adjective,,friendly ‖ friend,1
"amō, amāre, amāvī, amātum",to love,219,Verb,,to love,1
"amoenus, amoena, amoenum","pleasant, lovely",0,,,"pleasant, lovely",1
"amor, amōris, {m.}",love; Cupid {personified as the god of love},116,Noun,,love; Cupid {personified as the god of love},1
"animal, animālis, {n.}",animal,547,Noun,,animal,1
"animus, animī, {m.}",mind; spirit; courage,40,Noun,,mind; spirit; courage,1
"annus, annī, {m.}",year,167,Noun,,year,1
ante,before,112,"Adverb, Preposition",,before,1
"antīquus, antīqua, antīquum",ancient,617,Adjective,,ancient,1
"ānxius, ānxia, ānxium","anxious, worried",0,Adjective,,"anxious, worried",1
"aperiō, aperīre, aperuī, apertum",to open,837,Verb,,to open,1
"appāreō, appārēre, appāruī, appāritum",to appear,830,Verb,,to appear,1
"Aprīlis, Aprīle",of April,0,,,of April,1
apud,"at the house of, at, in",205,Preposition,,"at the house of, at, in",1
"aqua, aquae, {f.}",water,272,Noun,,water,1
"arbor, arboris, {f.}",tree,468,Noun,,tree,1
atque,and,35,Conjunction,,and,1
"audiō, audīre, audīvī, audītum",to hear,165,Verb,,to hear,1
"avis, avis, {f.}",bird,855,Noun,,bird,1
"aureus, aurea, aureum",golden,691,Adjective,,golden,1
autem,"however, but",123,Conjunction,,"however, but",1
"autoraeda, autoraedae, {f.}",car,0,,,car,1
babae,wow!,0,,,wow!,1
"baculum, baculī, {n.}",staff,0,Noun,,staff,1
"bellum, bellī, {n.}",war,86,Noun,,war,1
